Item,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chicago Bulls,"888,654 (41)","776,311 (41)","804,309 (41)","809,177 (41)","828,384 (41)","868,720 (41)","908,600 (41)","901,502 (41)","847,903 (40)","849,760 (41)","893,462 (41)","731,326 (33)","896,944 (41)","890,370 (41)","875,091 (41)","894,659 (41)","888,832 (41)"
Cleveland Cavaliers,"650,775 (41)","596,115 (41)","471,374 (41)","749,808 (41)","784,249 (41)","792,391 (41)","837,883 (41)","839,074 (41)","820,439 (41)","843,042 (41)","824,595 (41)","525,577 (33)","663,882 (41)","710,522 (41)","843,042 (41)","843,042 (41)","843,042 (41)"
Toronto Raptors,"793,256 (41)","811,135 (41)","777,507 (41)","750,608 (41)","750,608 (41)","699,242 (41)","748,603 (41)","796,835 (41)","769,707 (41)","733,784 (41)","679,208 (41)","555,584 (33)","743,936 (41)","748,339 (41)","809,824 (41)","812,863 (41)","813,050 (41)"
Dallas Mavericks,"680,138 (41)","802,783 (41)","816,429 (41)","825,594 (41)","822,533 (41)","814,009 (40)","824,993 (41)","831,738 (41)","821,723 (41)","819,770 (41)","824,162 (41)","671,050 (33)","821,490 (41)","817,982 (41)","827,702 (41)","825,901 (41)","811,366 (41)"
New York Knickerbockers,"810,283 (41)","810,283 (41)","779,479 (41)","785,739 (41)","800,144 (41)","776,176 (41)","770,617 (41)","783,739 (41)","790,801 (41)","799,550 (41)","808,879 (41)","652,179 (33)","780,353 (41)","812,292 (41)","812,292 (41)","812,292 (41)","810,741 (41)"
Utah Jazz,"792,196 (41)","766,108 (41)","786,034 (41)","785,330 (41)","769,014 (40)","751,621 (41)","802,294 (41)","816,211 (41)","816,042 (41)","794,512 (41)","799,982 (41)","637,124 (33)","765,915 (41)","745,203 (41)","772,059 (41)","791,489 (41)","806,605 (41)"
Miami Heat,"677,186 (41)","655,549 (41)","628,242 (41)","624,809 (41)","815,143 (41)","818,149 (41)","808,741 (41)","798,004 (41)","729,178 (40)","726,935 (41)","810,930 (41)","657,855 (33)","819,290 (41)","811,036 (41)","808,223 (41)","809,350 (41)","805,400 (41)"
Golden State Warriors,"591,981 (41)","593,182 (41)","634,935 (41)","665,648 (41)","670,368 (41)","730,928 (40)","742,267 (41)","804,864 (41)","776,660 (41)","739,120 (41)","766,398 (41)","622,311 (33)","794,320 (41)","803,436 (41)","803,436 (41)","803,436 (41)","803,436 (41)"
Portland Trail Blazers,"831,976 (41)","797,821 (41)","796,250 (41)","684,038 (41)","680,374 (41)","617,199 (41)","670,778 (41)","801,566 (41)","841,499 (41)","840,411 (41)","840,924 (41)","676,384 (33)","813,012 (41)","809,612 (41)","801,733 (41)","794,085 (41)","792,029 (41)"
Los Angeles Clippers,"599,448 (41)","740,185 (41)","706,471 (41)","665,396 (41)","696,181 (41)","712,409 (41)","755,261 (41)","692,408 (41)","646,830 (40)","670,063 (41)","727,462 (41)","634,237 (33)","788,293 (41)","787,692 (41)","785,892 (41)","786,910 (41)","782,609 (41)"
Los Angeles Lakers,"776,336 (41)","778,877 (41)","777,888 (41)","777,757 (41)","770,494 (41)","774,189 (41)","778,415 (41)","778,877 (41)","778,877 (41)","778,877 (41)","778,877 (41)","626,901 (33)","778,877 (41)","771,974 (41)","768,244 (41)","778,877 (41)","776,917 (41)"
Boston Celtics,"629,201 (41)","659,751 (41)","709,049 (41)","664,248 (41)","656,081 (41)","692,513 (41)","690,576 (41)","763,584 (41)","763,584 (41)","744,961 (41)","763,584 (41)","614,592 (33)","744,960 (40)","742,400 (41)","721,350 (41)","749,076 (41)","760,690 (41)"
San Antonio Spurs,"913,175 (41)","906,390 (41)","735,970 (41)","739,706 (41)","750,970 (40)","770,677 (41)","764,823 (41)","761,149 (41)","749,048 (41)","741,676 (41)","750,879 (41)","607,095 (33)","755,700 (41)","755,031 (41)","762,855 (41)","756,445 (41)","755,347 (41)"
Oklahoma City Thunder,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"747,732 (40)","738,149 (41)","744,068 (41)","600,699 (33)","746,323 (41)","746,323 (41)","746,323 (41)","746,323 (41)","746,323 (41)"
Orlando Magic,"605,031 (41)","621,121 (41)","605,901 (41)","589,144 (41)","597,942 (41)","638,005 (41)","700,887 (41)","709,346 (41)","698,768 (41)","715,901 (41)","777,852 (41)","623,587 (33)","721,414 (41)","666,046 (41)","688,194 (41)","719,275 (41)","727,875 (41)"
Sacramento Kings,"709,997 (41)","709,997 (41)","709,997 (41)","709,997 (41)","709,997 (41)","709,997 (41)","709,817 (41)","580,181 (41)","502,852 (40)","543,416 (41)","569,496 (41)","478,764 (33)","563,743 (41)","667,949 (41)","680,049 (41)","707,526 (41)","721,928 (41)"
Charlotte Hornets,"615,424 (41)","462,738 (41)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"636,268 (41)","704,886 (41)","716,894 (41)","710,643 (41)"
Philadelphia 76ers,"805,692 (41)","842,976 (41)","807,097 (41)","788,128 (41)","732,686 (41)","677,248 (41)","615,480 (41)","609,675 (41)","647,898 (41)","583,219 (41)","604,823 (41)","577,597 (33)","685,412 (41)","568,632 (41)","571,572 (41)","610,121 (41)","710,557 (41)"
Phoenix Suns,"737,586 (41)","668,939 (41)","666,559 (41)","670,385 (41)","726,066 (41)","730,179 (41)","755,302 (41)","755,302 (41)","755,302 (41)","723,582 (41)","720,249 (41)","514,718 (33)","632,913 (41)","650,739 (41)","693,862 (41)","701,405 (41)","708,639 (41)"
Washington Wizards,"638,653 (41)","847,634 (41)","827,092 (41)","645,363 (41)","705,069 (41)","684,889 (40)","753,283 (41)","736,461 (41)","681,117 (41)","664,398 (41)","688,466 (41)","552,038 (33)","670,070 (41)","698,068 (41)","747,796 (41)","725,426 (41)","697,107 (41)"
Houston Rockets,"518,555 (41)","481,227 (41)","565,166 (41)","640,794 (41)","663,444 (41)","636,110 (41)","678,262 (41)","718,524 (41)","699,280 (40)","677,658 (41)","663,839 (41)","506,994 (33)","683,564 (41)","743,082 (41)","747,412 (41)","737,244 (41)","695,903 (41)"
Indiana Pacers,"733,444 (41)","686,537 (41)","670,461 (41)","678,326 (41)","696,764 (41)","663,368 (41)","629,750 (41)","501,092 (41)","581,472 (41)","582,295 (41)","555,077 (41)","467,561 (33)","626,069 (41)","717,542 (41)","691,434 (41)","690,733 (41)","684,578 (41)"
Memphis Grizzlies,n/a,"591,030 (41)","611,322 (41)","622,723 (41)","691,362 (41)","647,533 (41)","600,836 (41)","523,578 (41)","509,806 (40)","552,914 (41)","600,687 (41)","518,256 (33)","681,613 (41)","685,458 (41)","710,502 (41)","684,603 (41)","677,314 (41)"
New Orleans Pelicans (formerly Hornets),n/a,n/a,"641,683 (41)","587,613 (41)","583,070 (41)","744,920 (41)","731,065 (41)","581,432 (41)","695,727 (41)","620,366 (41)","603,088 (41)","498,618 (33)","565,930 (41)","672,029 (41)","683,757 (41)","688,549 (41)","663,099 (41)"
Detroit Pistons,"607,323 (41)","760,807 (41)","839,278 (41)","872,902 (41)","905,119 (41)","883,040 (40)","905,116 (41)","905,116 (41)","896,971 (41)","768,826 (41)","683,080 (41)","475,638 (33)","606,094 (41)","615,238 (41)","625,917 (41)","677,138 (41)","655,141 (41)"
Atlanta Hawks,"560,324 (41)","506,110 (41)","528,655 (41)","565,728 (41)","592,729 (41)","617,817 (41)","639,375 (41)","667,518 (41)","686,688 (41)","678,375 (41)","641,596 (41)","501,593 (33)","620,146 (41)","587,927 (41)","713,909 (41)","690,150 (41)","654,306 (41)"
Milwaukee Bucks,"683,125 (41)","745,305 (41)","665,956 (41)","690,200 (41)","637,009 (41)","681,337 (41)","663,629 (41)","639,421 (41)","630,976 (41)","619,453 (41)","631,910 (41)","485,717 (33)","616,469 (41)","552,967 (41)","611,226 (41)","621,808 (41)","648,952 (41)"
Brooklyn (formerly New Jersey) Nets,"566,077 (41)","564,194 (41)","622,574 (41)","613,051 (41)","618,677 (41)","691,543 (41)","678,885 (40)","641,921 (41)","621,062 (41)","537,230 (41)","581,378 (41)","460,719 (33)","704,702 (41)","707,331 (41)","698,529 (41)","620,142 (41)","632,608 (41)"
Minnesota Timberwolves,"717,371 (41)","731,673 (41)","643,684 (41)","723,071 (41)","723,071 (41)","648,167 (41)","655,947 (41)","593,537 (41)","594,743 (41)","619,170 (41)","624,960 (41)","577,197 (33)","669,956 (41)","597,157 (41)","595,652 (41)","581,178 (41)","607,203 (41)"
Denver Nuggets,"619,300 (41)","633,846 (41)","607,813 (41)","721,476 (41)","723,949 (41)","702,555 (41)","706,437 (41)","711,962 (41)","706,165 (41)","737,812 (41)","692,968 (41)","561,966 (33)","730,616 (41)","692,898 (41)","602,707 (41)","577,898 (41)","605,585 (41)"
Seattle SuperSonics,"640,847 (41)","633,516 (41)","637,194 (41)","625,474 (41)","675,490 (41)","664,157 (41)","654,163 (41)","547,556 (41)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Vancouver Grizzlies,"563,218 (41)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Charlotte Bobcats,n/a,n/a,n/a,n/a,"591,701 (41)","671,011 (41)","637,520 (41)","603,403 (41)","581,049 (40)","648,790 (41)","649,694 (41)","486,984 (33)","628,293 (41)",n/a,n/a,n/a,n/a
Total Regular Season,"19,956,572","20,182,140","20,074,369","20,272,233","21,369,078","21,510,099","21,163,658","21,395,576","21,389,899","21,094,015","20,461,649","17,100,861","21,320,299","21,411,543","21,905,470","21,954,838","21,997,825"
( ) Number of games,"1,189","1,189","1,189","1,189","1,228","1,226","1,229","1,230","1,224","1,230","1,230",990,"1,229","1,230","1,230","1,230","1,230"