Item,City,State,Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New York Knicks,NEW YORK,New York,NY,395,392,398,401,494,543,592,608,613,586,655,780,"1,100","1,400","2,500","3,000",3300
Los Angeles Lakers,LOS ANGELES,California,CA,390,426,426,447,510,529,568,560,584,607,643,900,"1,000","1,350","2,600","2,700",3000
Golden State Warriors,SAN FRANCISCO,California,CA,168,166,176,188,228,243,267,309,335,315,363,450,555,750,"1,300","1,900",2600
Chicago Bulls,CHICAGO,Illinois,IL,314,329,323,356,368,409,461,500,504,511,511,600,800,"1,200","2,000","2,300",2500
Boston Celtics,BOSTON,Massachusetts,MA,212,218,274,290,334,353,367,391,447,433,452,482,730,875,"1,700","2,100",2200
Los Angeles Clippers,LOS ANGELES,California,CA,154,170,205,208,224,248,285,294,297,295,305,324,430,575,"1,600","2,000",2000
Brooklyn Nets,BROOKLYN,New York,NY,179,169,218,244,296,271,325,338,295,269,312,357,530,780,"1,500","1,700",1800
Houston Rockets,HOUSTON,Texas,TX,206,234,255,278,369,422,439,462,469,470,443,453,568,775,"1,250","1,500",1650
Dallas Mavericks,DALLAS,Texas,TX,167,211,304,338,374,403,463,461,466,446,438,497,685,765,"1,150","1,400",1450
Cleveland Cavaliers,CLEVELAND,Ohio,OH,185,202,222,258,298,356,380,455,477,476,355,329,434,515,915,"1,100",1200
Miami Heat,MIAMI,Florida,FL,225,248,250,236,279,362,409,418,393,364,425,457,625,770,"1,175","1,300",1350
San Antonio Spurs,SAN ANTONIO,Texas,TX,189,221,242,283,324,350,390,405,415,398,404,418,527,660,"1,000","1,150",1175
Toronto Raptors,TORONTO,Ontario,,148,172,217,249,297,278,315,373,400,386,399,382,405,520,920,980,1125
Phoenix Suns,PHOENIX,Arizona,AZ,252,266,272,282,356,395,410,449,452,429,411,395,474,565,910,"1,000",1100
Sacramento Kings,SACRAMENTO,California,CA,178,209,259,275,330,345,379,385,350,305,293,300,525,550,800,925,1075
Portland Trail Blazers,PORTLAND,Oregon,OR,272,283,270,272,247,227,230,253,307,338,356,370,457,587,940,975,1050
Oklahoma City Thunder,OKLAHOMA CITY,Oklahoma,OK,187,200,207,196,205,234,268,269,300,310,329,348,475,590,930,950,1025
Washington Wizards,WASHINGTON,,,210,214,278,274,273,318,334,348,353,313,322,328,397,485,900,960,1000
Orlando Magic,ORLANDO,Florida,FL,165,176,197,199,218,247,283,322,349,361,385,385,470,560,875,900,920
Utah Jazz,SALT LAKE CITY,Utah,UT,226,225,226,239,257,274,297,342,358,343,343,335,432,525,850,875,910
Detroit Pistons,DETROIT,Michigan,MI,236,230,258,284,363,402,429,477,480,479,360,332,400,450,810,850,900
Denver Nuggets,DENVER,Colorado,CO,175,188,209,218,268,283,309,321,329,321,316,316,427,495,855,855,890
Atlanta Hawks,ATLANTA,Georgia,GA,184,199,206,202,232,262,275,286,306,306,295,270,316,425,825,825,885
Indiana Pacers,INDIANAPOLIS,Indiana,IN,232,231,246,280,311,350,340,333,303,281,269,283,383,475,830,840,880
Philadelphia 76ers,PHILADELPHIA,Pennsylvania,PA,233,279,298,328,342,351,375,380,360,344,330,314,418,469,700,700,800
Memphis Grizzlies,MEMPHIS,Tennessee,TN,118,160,198,227,238,294,313,304,294,257,266,269,377,453,750,780,790
Milwaukee Bucks,MILWAUKEE,Wisconsin,WI,131,150,168,174,199,231,260,264,278,254,258,268,312,405,600,675,785
Charlotte Hornets,CHARLOTTE,North Carolina,NC,n/a,n/a,n/a,n/a,300,200,277,287,284,278,281,277,315,410,725,750,780
Minnesota Timberwolves,MINNEAPOLIS,Minnesota,MN,169,185,213,230,291,303,308,308,301,268,264,272,364,430,625,720,770
New Orleans Pelicans,NEW ORLEANS,Louisiana,LA,144,135,216,216,225,225,248,272,285,267,280,285,340,420,650,650,750